小米SU7 #小米su7 #小米汽车
车评很不专业，都是说的一些自己个人的喜好，没什么专业知识 50323143430 深海小龙虾 福建
太个人了点 4537192267 Note569 福建
关键这产品没有能拿得出来说的汽车相关的东西 3508788214 我姓安是个胖子 陕西
风阻不是？电池不是？加速度不是？驾乘感受不是？ 51733713754 何航期 河南
是的。他是个人感官带入太明显。 9329801495 超级瘦巴巴 广东
你要听哪方面的专业知识？普通消费者需要知道什么知识看 6141959157 卡西玛啊 上海
有啥关键知识？雷子给你讲知识了吗？ 5947703590 神秘葡萄v0v 湖南
嗨，小军儿讲的也不专业，对付一下看呗，娱乐节目嘛 6072665616 韭菜韭菜没酒没菜 北京
说说给了多少啊 6631251902 为了梦想884 广东
还是震哥实话实说，其他人都是无脑吹 3120920110 黄社长 河北
这次很明显没给他充钱 80832278929 无敌就行 贵州
不充钱，车没上市，你哪里有机会试车 206347842356011 昊阳总 山东
你抢我词儿了呲牙 5477818063 QianwanNo 广东
说实话也不行 1768462395912348 在路上的正能量 河南
没充钱，所以实话实说，有问题吗？！ 3016649641 少吃点大头菜 广东
这叫勒索，不叫实话 103393597799 微软破产 广东
颜闯说了，给800捂脸 82134720800 房车排行榜 江西
没充到钱，带着怨气呢捂脸 53569527858 橙两面包夹芝士 安徽
雷军因大部分用外国供应链连车也被人喷，说华为专利被偷卖美，还被说成买办捂脸捂脸是小米拉低手机价位的吧(性价比高)！满网轰炸式消息有时适得其反捂脸 6023958290 善良星球z 甘肃
太帅了吧💪 25283672883 晨阳130013375 河南
充钱那就是无脑吹了，没充钱反而合情合理 52847342443 WYM肥家 广东
有道理，我看了他吹问界m9投影仪跟打了鸡血似的捂脸 61463659851 大道至简 山东
那别的车没给钱还不如这个喽 135933629045527 风间仁1593 山东
这货是明显带着很强的个人情绪来说的，绝对充值不到位大笑 3240996818923164 雷斯克 北京
笑哭怨气肯定有，但是能说出来的缺点也是事实，充钱只是掩盖了缺点，不代表没有 3016649641 少吃点大头菜 广东
据说：全国su7首例事故，空气悬挂趴窝 93148293912 凯歌视角 云南
充了八百块，嫌少捂脸捂脸捂脸 58728027694 幽默的Jacksong 贵州
对的，，没充值只能实话实说了。。。充值了的话就是一顿乱吹，，反正吹牛不需要负责我想静静 5557204640 谁也没用哈哈 四川
有些实实在在的确实，但是有些东西光听他主观感受可就。。。 53569527858 橙两面包夹芝士 安徽
21万车这配置，奔驰宝马奥迪保时捷得一百万了 3538668919198904 山野村夫 北京
据说：全国su7首例事故，空气悬挂趴窝 93148293912 凯歌视角 云南
充了八百块，嫌少捂脸捂脸捂脸 58728027694 幽默的Jacksong 贵州
对的，，没充值只能实话实说了。。。充值了的话就是一顿乱吹，，反正吹牛不需要负责我想静静 5557204640 谁也没用哈哈 四川
有些实实在在的确实，但是有些东西光听他主观感受可就。。。 53569527858 橙两面包夹芝士 安徽
21万车这配置，奔驰宝马奥迪保时捷得一百万了 3538668919198904 山野村夫 北京
国产里面小米的品控最差的吧？捂脸 66130100513 菲菲的内库 广西
二十几万的车2.7秒加速百万级别的操控，空气悬架电吸门辅助驾驶100度电池800公里续航等等配置，好像二十几万我是没看到其他车有捂脸 3538668919198904 山野村夫 北京
你说的这些配置在顶配上，菜鸡 377829089350920 挺不住了老铁 湖南
顶配30万，国产里30万的车哪个不带？ 377829089350920 挺不住了老铁 湖南
你说的是高配的好吧？这得30万呢，三十万可选择的太多了吧，极氪001，智界s7，知己l6那辆比它差捂脸捂脸 66130100513 菲菲的内库 广西
哈哈，笑死 4189196809 SuckMyNuts 四川
车子才上市就最差了？路上都没看见几辆你是怎么得出来结论的 2759309587 啷哩个啷9527 湖南
他说你就信啊 52396811437 特殊的名字不好起 山东
那辆2.7s？ 105533035421 无名之辈灬灬 浙江
不黑小米，你会死吗？ 4380931337749839 WLH 河北
卖手机时留给大家的印象就是差。。。我读书的时候还用米3米4，毕业后也用过小米的笔记本，都是1年就出问题了，要么电池不行了要么就很卡，后面就改用华为了。 78522368725 bzuwkviso 四川
你不说用华为，我就信了。灵光一闪灵光一闪 1150399383 Lance5278 贵州
你是华为用户不奇怪，我是从华为改过来用小米的，荣耀2，华为P9，我不评价华为现在怎么样，我只说现在的小米我用的很舒服 2759309587 啷哩个啷9527 湖南
你看看你说的这几个车，都是销量王捂脸 4456495149 米虫II 湖北
你觉得三点几秒，和四点几秒对普通人有区别？ 1855573219607054 我是崔大宝呀 山东
卖手机时留给大家的印象就是差。。。我读书的时候还用米3米4，毕业后也用过小米的笔记本，都是1年就出问题了，要么电池不行了要么就很卡，后面就改用华为了。 78522368725 bzuwkviso 四川
你不说用华为，我就信了。灵光一闪灵光一闪 1150399383 Lance5278 贵州
你是华为用户不奇怪，我是从华为改过来用小米的，荣耀2，华为P9，我不评价华为现在怎么样，我只说现在的小米我用的很舒服 2759309587 啷哩个啷9527 湖南
你看看你说的这几个车，都是销量王捂脸 4456495149 米虫II 湖北
你觉得三点几秒，和四点几秒对普通人有区别？ 1855573219607054 我是崔大宝呀 山东
只是实话实说 1855573219607054 我是崔大宝呀 山东
一看就是个黑子 184323379822904 晓羽好物分享 广东
呵呵 897633286893919 小新来了鸭 山东
笑了 783321845733712 蒙待定咯 广东
困小米现在怎么样我不评价，因为我没用了，反正他留给我的印象就是品控差，1年1换 78522368725 bzuwkviso 四川
